 Wd pai   fai   zH
  0 0.780 0.039 21.305
  5 0.770 0.024 20.780
 10 0.820 0.190 19.747
 15 0.860 0.554 19.643
 20 1.000 1.620 17.988
 25 0.830 0.570 20.221
 30 0.810 0.518 20.583
 35 0.740 0.488 22.690
 40 0.770 0.442 21.321
 45 0.730 0.426 22.245
 50 0.770 0.391 20.877
 55 0.750 0.694 19.024
 60 0.720 0.718 16.413
 65 0.730 0.689 13.899
 70 0.740 0.496 12.714
 75 0.750 0.678 13.870
 80 0.780 0.764 16.009
 85 0.800 0.417 16.281
 90 0.820 0.518 15.974
 95 0.800 0.501 16.006
100 0.780 0.518 16.208
105 0.790 0.649 16.037
110 0.800 0.597 15.722
115 0.780 0.702 15.799
120 0.800 0.780 15.580
125 0.810 0.684 15.871
130 0.790 0.546 16.314
135 0.760 0.749 15.251
140 0.740 0.703 13.495
145 0.700 0.507 15.821
150 0.690 0.438 15.265
155 0.720 0.377 13.927
160 0.770 0.423 13.640
165 0.670 0.288 16.602
170 0.780 0.338 16.669
175 0.760 0.351 20.528
180 0.770 0.375 22.699
185 0.820 0.360 21.255
190 0.810 0.429 22.434
195 0.930 0.965 23.550
200 1.000 1.024 27.471
205 0.860 0.381 22.641
210 0.810 0.096 22.443
215 0.740 0.038 23.948
220 0.770 0.021 22.024
225 0.750 0.052 22.335
230 0.760 0.318 21.230
235 0.700 0.426 19.636
240 0.780 0.491 15.081
245 0.690 0.575 14.043
250 0.710 0.410 13.143
255 0.690 0.674 14.605
260 0.760 0.752 15.863
265 0.760 0.689 16.937
270 0.780 0.708 16.650
275 0.790 0.689 16.288
280 0.810 0.797 15.769
285 0.830 0.764 15.388
290 0.760 0.807 16.205
295 0.810 0.680 15.129
300 0.760 0.676 16.587
305 0.800 0.760 15.944
310 0.780 0.720 16.792
315 0.840 0.696 14.819
320 0.760 0.686 13.632
325 0.730 0.599 14.730
330 0.720 0.616 15.245
335 0.680 0.650 14.865
340 0.630 0.379 16.133
345 0.670 0.363 17.098
350 0.720 0.377 18.374
355 0.780 0.196 20.338
