 Wd pai   fai   zH
  0 0.733 39.755 16.662
  5 0.718 49.860 13.406
 10 0.740 46.854 12.733
 15 0.690 36.614 9.622
 20 0.810 47.688 13.075
 25 0.772 62.354 16.305
 30 0.775 49.897 17.435
 35 0.762 58.002 23.798
 40 0.728 57.025 17.909
 45 0.672 33.452 11.996
 50 0.627 28.626 10.023
 55 0.635 37.325 7.693
 60 0.650 25.609 7.632
 65 0.585 24.640 8.243
 70 0.627 46.087 11.571
 75 0.680 73.456 13.822
 80 0.670 60.411 17.246
 85 0.705 92.995 18.695
 90 0.720 96.490 20.527
 95 0.662 38.060 11.532
100 0.660 30.238 9.634
105 0.568 20.312 5.519
110 0.718 32.826 11.084
115 0.790 45.013 10.393
120 0.785 49.834 10.791
125 0.755 38.494 8.789
130 0.767 40.518 10.336
135 0.787 37.762 10.268
140 0.715 40.978 11.022
145 0.810 35.881 12.897
150 0.718 37.214 10.546
155 0.642 30.289 7.563
160 0.718 93.959 13.288
165 0.713 57.943 22.240
170 0.685 63.087 11.220
175 0.730 42.761 14.105
180 0.715 48.081 17.116
185 0.718 48.340 13.690
190 0.733 38.829 12.526
195 0.725 38.820 8.986
200 0.800 44.580 14.005
205 0.782 46.834 15.918
210 0.760 43.483 18.482
215 0.772 54.462 23.441
220 0.775 61.576 16.761
225 0.690 44.831 12.349
230 0.677 32.281 9.230
235 0.605 33.546 8.185
240 0.623 25.999 8.183
245 0.637 23.561 7.524
250 0.698 37.728 9.423
255 0.672 78.969 13.926
260 0.652 58.967 17.296
265 0.695 81.055 18.664
270 0.705 79.232 21.954
275 0.662 37.182 10.894
280 0.662 32.222 10.282
285 0.610 21.983 5.079
290 0.677 28.641 11.763
295 0.782 46.143 10.677
300 0.815 46.058 11.224
305 0.795 43.926 8.265
310 0.735 43.266 10.215
315 0.787 39.946 10.601
320 0.745 45.030 10.965
325 0.825 36.493 13.480
330 0.725 35.657 10.137
335 0.650 28.280 7.418
340 0.675 117.086 19.691
345 0.698 62.105 22.194
350 0.693 57.159 11.839
355 0.775 41.346 13.433
