ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
0.644;1.023;0.349;0.715;0.569;0.385;0.731;0.65;0.405;0.785;0.664;0.432;0.679;0.548;0.376;0
0.547;2.008;0.384;0.616;0.637;0.36;0.622;0.669;0.386;0.677;0.664;0.405;0.582;0.564;0.357;0
0.488;2.33;0.389;0.542;0.976;0.36;0.568;0.822;0.379;0.596;0.728;0.391;0.509;0.783;0.351;0
0.449;2.358;0.379;0.518;1.925;0.385;0.541;1.281;0.379;0.569;0.921;0.384;0.485;1.535;0.345;0
0.43;2.292;0.379;0.493;2.237;0.379;0.514;1.434;0.372;0.541;1.028;0.384;0.461;1.707;0.339;0
0.41;2.216;0.374;0.468;2.251;0.373;0.514;1.376;0.366;0.514;1.028;0.378;0.461;1.691;0.339;0
0.41;2.046;0.374;0.468;2.061;0.373;0.487;1.281;0.366;0.514;0.963;0.378;0.437;1.55;0.339;0
0.391;1.818;0.374;0.468;1.898;0.373;0.487;1.262;0.366;0.514;0.985;0.378;0.437;1.456;0.339;0
0.391;1.676;0.384;0.468;1.763;0.373;0.487;1.204;0.379;0.514;0.921;0.384;0.461;1.331;0.351;0
0.41;1.572;0.394;0.468;1.573;0.379;0.487;1.09;0.379;0.514;0.899;0.384;0.461;1.175;0.351;0
0.43;1.459;0.399;0.468;1.451;0.391;0.514;1.051;0.386;0.541;0.921;0.391;0.461;1.096;0.364;0
0.469;1.392;0.434;0.518;1.437;0.409;0.541;1.223;0.405;0.569;1.07;0.419;0.509;1.19;0.401;0
0.605;1.392;0.484;0.666;1.397;0.439;0.676;1.319;0.431;0.65;1.22;0.453;0.631;1.362;0.445;0
0.762;1.364;0.584;0.863;1.451;0.505;0.866;1.376;0.497;0.812;1.242;0.529;0.825;1.378;0.558;0
1.015;1.279;0.708;1.035;1.546;0.631;1.082;1.472;0.621;1.002;1.327;0.632;1.043;1.472;0.677;0
1.23;0.928;0.893;1.183;1.437;0.847;1.163;1.434;0.85;1.056;1.37;0.838;1.213;1.456;0.884;0
1.211;0.71;1.157;1.208;1.18;1.118;1.191;1.185;1.072;1.11;1.22;1.071;1.188;1.269;1.141;0
1.113;0.578;1.437;1.085;0.8;1.418;1.109;0.898;1.379;1.11;1.006;1.352;1.091;0.877;1.404;0
1.015;0.521;1.756;1.06;0.624;1.748;1.082;0.784;1.712;1.083;0.921;1.675;1.019;0.72;1.736;0
0.976;0.483;1.89;1.035;0.569;1.863;1.055;0.746;1.823;1.083;0.878;1.785;0.994;0.658;1.862;0
0.957;0.455;1.925;1.011;0.556;1.917;1.028;0.707;1.882;1.056;0.835;1.812;0.994;0.626;1.893;0
0.937;0.445;1.945;0.961;0.542;1.929;1.001;0.707;1.889;1.056;0.835;1.84;0.946;0.611;1.925;0
0.918;0.436;1.955;0.937;0.515;1.947;1.001;0.688;1.921;1.002;0.792;1.854;0.922;0.611;1.937;0
0.918;0.455;1.965;0.937;0.569;1.965;1.001;0.726;1.947;1.029;0.878;1.881;0.946;0.626;1.962;0
0.957;0.483;1.94;1.035;0.583;1.959;1.055;0.784;1.947;1.083;0.899;1.874;0.994;0.658;1.943;0
0.957;0.474;1.871;1.011;0.583;1.881;1.028;0.784;1.882;1.056;0.878;1.826;0.97;0.642;1.868;0
0.918;0.455;1.781;0.961;0.542;1.802;0.974;0.707;1.804;1.002;0.814;1.771;0.946;0.611;1.774;0
0.879;0.436;1.766;0.888;0.502;1.766;0.947;0.669;1.791;0.948;0.749;1.771;0.897;0.564;1.762;0
0.859;0.436;1.766;0.912;0.502;1.778;0.92;0.669;1.791;0.948;0.749;1.785;0.873;0.579;1.768;0
0.898;0.455;1.756;0.912;0.529;1.76;0.947;0.688;1.791;0.948;0.771;1.785;0.873;0.595;1.768;0
0.918;0.474;1.726;0.912;0.542;1.724;0.947;0.707;1.758;0.975;0.792;1.764;0.897;0.642;1.73;0
1.035;0.521;1.686;1.011;0.583;1.694;1.055;0.784;1.725;1.002;0.835;1.744;0.946;0.705;1.686;0
1.25;0.625;1.636;1.134;0.664;1.64;1.191;0.879;1.666;1.137;0.921;1.682;1.116;0.799;1.611;0
1.523;0.777;1.551;1.331;0.773;1.526;1.407;1.032;1.542;1.354;1.049;1.572;1.334;0.924;1.505;0
1.738;0.89;1.347;1.479;0.881;1.322;1.515;1.166;1.32;1.435;1.199;1.352;1.48;1.065;1.31;0
1.797;0.947;1.043;1.455;0.922;0.979;1.488;1.185;0.974;1.408;1.306;1.009;1.48;1.159;1.009;0
1.797;0.976;0.823;1.43;0.936;0.805;1.461;1.223;0.797;1.381;1.306;0.817;1.577;1.222;0.84;0
1.777;0.966;0.738;1.405;0.936;0.739;1.407;1.147;0.732;1.354;1.22;0.735;1.649;1.269;0.79;0
1.718;0.919;0.698;1.405;0.908;0.709;1.353;1.09;0.719;1.299;1.178;0.707;1.674;1.269;0.771;0
1.64;0.871;0.653;1.405;0.881;0.697;1.299;1.013;0.699;1.245;1.135;0.68;1.649;1.222;0.746;0
1.562;0.852;0.619;1.504;0.936;0.679;1.272;1.013;0.667;1.299;1.113;0.673;1.674;1.206;0.708;0
1.523;0.824;0.574;1.578;0.963;0.637;1.326;1.051;0.621;1.381;1.199;0.652;1.625;1.175;0.652;0
1.504;0.815;0.529;1.652;0.976;0.589;1.38;1.128;0.601;1.516;1.285;0.632;1.601;1.143;0.602;0
1.406;0.777;0.489;1.578;0.922;0.565;1.434;1.128;0.582;1.516;1.263;0.611;1.504;1.065;0.564;0
1.308;0.748;0.454;1.504;0.868;0.517;1.488;1.109;0.542;1.462;1.22;0.577;1.407;0.971;0.533;0
1.152;0.701;0.439;1.307;0.773;0.487;1.326;1.013;0.51;1.299;1.092;0.542;1.237;0.877;0.489;0
0.957;0.625;0.414;1.109;0.719;0.457;1.109;0.898;0.49;1.11;0.942;0.529;1.019;0.752;0.464;0
0.801;0.72;0.389;0.888;0.61;0.427;0.92;0.746;0.457;0.948;0.771;0.481;0.825;0.595;0.433;0
0.746;1.029;0.467;0.776;0.583;0.467;0.814;0.683;0.467;0.842;0.722;0.467;0.733;0.557;0.491;0
0.612;1.995;0.456;0.682;0.649;0.456;0.683;0.702;0.456;0.733;0.701;0.456;0.638;0.602;0.485;0
0.535;2.289;0.451;0.588;0.941;0.451;0.604;0.849;0.451;0.624;0.743;0.451;0.567;0.812;0.472;0
0.478;2.316;0.443;0.541;1.855;0.443;0.552;1.366;0.443;0.597;0.977;0.443;0.52;1.579;0.467;0
0.44;2.252;0.433;0.517;2.133;0.433;0.525;1.532;0.433;0.57;1.083;0.433;0.473;1.745;0.462;0
0.421;2.178;0.433;0.47;2.199;0.433;0.499;1.458;0.433;0.543;0.998;0.433;0.449;1.715;0.455;0
0.402;2.022;0.433;0.447;2.04;0.433;0.499;1.329;0.433;0.516;0.977;0.433;0.449;1.549;0.455;0
0.402;1.783;0.431;0.447;1.855;0.431;0.499;1.311;0.431;0.543;1.019;0.431;0.449;1.474;0.455;0
0.402;1.618;0.443;0.447;1.709;0.443;0.499;1.255;0.443;0.516;0.955;0.443;0.449;1.324;0.467;0
0.402;1.526;0.467;0.47;1.497;0.467;0.499;1.126;0.467;0.543;0.934;0.467;0.449;1.143;0.487;0
0.421;1.397;0.478;0.47;1.391;0.478;0.499;1.089;0.478;0.543;0.913;0.478;0.449;1.038;0.499;0
0.44;1.351;0.499;0.47;1.365;0.499;0.525;1.2;0.499;0.543;1.104;0.499;0.473;1.113;0.545;0
0.516;1.305;0.523;0.541;1.272;0.523;0.578;1.218;0.523;0.597;1.168;0.523;0.544;1.279;0.589;0
0.612;1.241;0.578;0.658;1.232;0.578;0.709;1.218;0.578;0.706;1.104;0.578;0.638;1.203;0.655;0
0.746;1.085;0.67;0.776;1.245;0.67;0.814;1.274;0.67;0.896;1.104;0.67;0.78;1.233;0.712;0
0.88;0.754;0.878;0.917;1.206;0.878;0.946;1.2;0.878;0.95;1.125;0.878;0.945;1.264;0.833;0
0.975;0.653;1.12;1.011;1.192;1.12;1.051;1.145;1.12;1.005;1.168;1.12;1.04;1.173;1.05;0
1.071;0.616;1.45;1.081;0.888;1.45;1.13;0.997;1.45;1.167;1.061;1.45;1.111;0.933;1.32;0
1.09;0.597;1.76;1.152;0.742;1.76;1.209;0.905;1.76;1.167;0.998;1.76;1.111;0.797;1.656;0
