ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
0.801;0.72;0.389;0.888;0.72;0.427;0.920;0.72;0.457;0.948;0.72;0.481;0.825;0.72;0.433;0
0.644;1.023;0.349;0.715;1.023;0.385;0.731;1.023;0.405;0.785;1.023;0.432;0.679;1.023;0.376;0
0.547;2.008;0.384;0.616;2.008;0.36;0.622;2.008;0.386;0.677;2.008;0.405;0.582;2.008;0.357;0
0.488;2.33;0.389;0.542;2.33;0.36;0.568;2.33;0.379;0.596;2.33;0.391;0.509;2.33;0.351;0
0.449;2.358;0.379;0.518;2.358;0.385;0.541;2.358;0.379;0.569;2.358;0.384;0.485;2.358;0.345;0
0.430;2.292;0.379;0.493;2.292;0.379;0.514;2.292;0.372;0.541;2.292;0.384;0.461;2.292;0.339;0
0.410;2.216;0.374;0.468;2.216;0.373;0.514;2.216;0.366;0.514;2.216;0.378;0.461;2.216;0.339;0
0.410;2.046;0.374;0.468;2.046;0.373;0.487;2.046;0.366;0.514;2.046;0.378;0.437;2.046;0.339;0
0.391;1.818;0.374;0.468;1.818;0.373;0.487;1.818;0.366;0.514;1.818;0.378;0.437;1.818;0.339;0
0.391;1.676;0.384;0.468;1.676;0.373;0.487;1.676;0.379;0.514;1.676;0.384;0.461;1.676;0.351;0
0.410;1.572;0.394;0.468;1.572;0.379;0.487;1.572;0.379;0.514;1.572;0.384;0.461;1.572;0.351;0
0.430;1.459;0.399;0.468;1.459;0.391;0.514;1.459;0.386;0.541;1.459;0.391;0.461;1.459;0.364;0
0.469;1.392;0.434;0.518;1.392;0.409;0.541;1.392;0.405;0.569;1.392;0.419;0.509;1.392;0.401;0
0.605;1.392;0.484;0.666;1.392;0.439;0.676;1.392;0.431;0.650;1.392;0.453;0.631;1.392;0.445;0
0.762;1.364;0.584;0.863;1.364;0.505;0.866;1.364;0.497;0.812;1.364;0.529;0.825;1.364;0.558;0
1.015;1.279;0.708;1.035;1.279;0.631;1.082;1.279;0.621;1.002;1.279;0.632;1.043;1.279;0.677;0
