Data,T_Celsius
StartDate,2015-01-01
EndDate,2015-12-31
Timezone,Europe/London
1,9.161881378
2,9.582277749
3,5.615161127
4,3.62641677
5,8.310810996
6,8.237201333
7,7.586860408
8,9.856579985
9,12.80297129
10,10.68583698
11,6.884005418
12,10.89324185
13,8.613883275
14,6.374077508
15,8.360290989
16,5.884010288
17,4.955074004
18,3.888571498
19,2.987516934
20,3.684948615
21,3.780375157
22,3.216967388
23,3.433181446
24,6.105636735
25,6.097092409
26,8.701047102
27,6.96397295
28,6.674738864
29,3.819792902
30,4.4920979
31,3.504824246
32,3.674342354
33,1.308586684
34,1.829795417
35,2.907341987
36,3.061710801
37,3.199304312
38,3.577376614
39,6.084534682
40,6.756130709
41,6.515698585
42,5.603418731
43,4.584335569
44,8.052322181
45,7.734960777
46,7.605107625
47,6.981598791
48,6.476182514
49,6.98133017
50,7.397146873
51,6.758634428
52,4.851508144
53,5.150262154
54,6.751363171
55,7.231963785
56,9.272784341
57,9.390709986
58,6.016864919
59,8.608687692
60,9.082148033
61,6.192369064
62,6.515183933
63,6.806118324
64,7.544626913
65,9.207466088
66,11.0303878
67,9.918800091
68,8.771603603
69,9.438080556
70,9.706397984
71,11.23898632
72,9.077679357
73,6.264394983
74,6.378104389
75,6.997175441
76,8.818891039
77,6.935745946
78,7.087606017
79,8.224399976
80,7.580750662
81,6.307681979
82,7.438982836
83,7.428275984
84,6.336865183
85,8.294605577
86,8.680820572
87,11.39108996
88,11.11145297
89,9.472833155
90,10.53159943
91,8.051051589
92,9.883157984
93,9.967340261
94,8.721528466
95,9.129433972
96,10.7195136
97,12.59994461
98,12.49287453
99,12.60211442
100,14.72079426
101,11.45035793
102,12.09127423
103,11.68128048
104,14.23380634
105,18.10387159
106,12.27674691
107,10.4098592
108,10.09193476
109,8.555235792
110,11.93521391
111,12.2170896
112,11.22005072
113,11.70081015
114,12.81630602
115,13.80375683
116,9.532731513
117,8.599696733
118,9.10633004
119,10.11985317
120,10.46287807
121,9.027453304
122,10.10873476
123,14.27091866
124,14.37186314
125,14.28866688
126,12.11903395
127,12.95176762
128,13.81661019
129,14.23446337
130,14.9327108
131,16.99525059
132,13.90162118
133,14.2015941
134,9.757083261
135,11.76458452
136,14.68646581
137,12.89268262
138,11.99144902
139,10.15439872
140,11.13040294
141,14.44040615
142,15.23677336
143,14.52166048
144,15.5821419
145,13.54815624
146,14.54698938
147,14.19189533
148,14.24459143
149,11.85143357
150,12.65598103
151,13.43329496
