Season,GMT,GMT,GMT,GMT,GMT,GMT
Day,Weekday,Weekday,Saturday,Saturday,Sunday,Sunday
Type,Energy,Fraction,Energy,Fraction,Energy,Fraction
StartDate,2008-01-01,2008-01-01,2008-01-01,2008-01-01,2008-01-01,2008-01-01
EndDate,2008-12-31,2008-12-31,2008-12-31,2008-12-31,2008-12-31,2008-12-31
Timezone,Europe/London,,,,,
01:00,75,1,75,1,75,1
02:00,75,1,75,1,75,1
03:00,75,1,75,1,75,1
04:00,75,1,75,1,75,1
05:00,75,1,75,1,75,1
06:00,75,1,75,1,75,1
07:00,75,1,75,1,75,1
08:00,125,1,125,1,125,1
09:00,175,1,175,1,175,1
10:00,175,1,175,1,175,1
11:00,175,1,175,1,175,1
12:00,175,1,175,1,175,1
13:00,175,1,175,1,175,1
14:00,175,1,175,1,175,1
15:00,175,1,175,1,175,1
16:00,175,1,175,1,175,1
17:00,175,1,175,1,175,1
18:00,125,1,125,1,125,1
19:00,75,1,75,1,75,1
20:00,75,1,75,1,75,1
21:00,75,1,75,1,75,1
22:00,75,1,75,1,75,1
23:00,75,1,75,1,75,1
00:00,75,1,75,1,75,1
