1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22				
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch				
100	0.09	0.09	0.95	0.48	0.48	0.48	0.48	3	10	3	50	190	40	800	800	800	800	0	200000	1.2	4	!	PAV	Helsinki	
150	0.15	0.15	0.91	0.25	0.25	0.25	0.25	3	10	3	60	190	100	750	750	750	750	802	200000	1.2	4	!	BLDG	Helsinki	
551	0.10	0.10	0.95	0.48	0.48	0.60	0.48	3	10	3	55661	-999	-999	8511	8511	8512	8512	806	200000	1.2	4	!	Paved	Sw (Ward et al. 2016)	
552	0.12	0.12	0.91	0.25	0.25	0.60	0.25	3	10	3	55661	-999	-999	7981	7981	7982	7982	802	200000	1.2	4	!	Bldgs	Sw (Ward et al. 2016)	
553	0.18	0.18	0.94	0.80	0.80	1.00	0.80	3	10	3	55661	-999	-999	551	551	552	552	809	200000	1.2	4	!	BSoil	Sw (Ward et al. 2016)	
661	0.10	0.10	0.95	0.48	0.48	0.60	0.48	3	10	3	55661	-999	-999	8511	8511	8512	8512	806	200000	1.2	4	!	Paved	Kc (Ward et al. 2016)	
662	0.12	0.12	0.91	0.25	0.25	0.60	0.25	3	10	3	55661	-999	-999	7981	7981	7982	7982	0	200000	1.2	4	!	Bldgs	Kc (Ward et al. 2016)	
663	0.18	0.18	0.94	0.80	0.80	1.00	0.80	3	10	3	55661	-999	-999	551	551	552	552	809	200000	1.2	4	!	BSoil	Kc (Ward et al. 2016)	
-9																									
-9																									
																									
																									
																									
																									
																									
																									
																									
