1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80			
Grid	Year	StartDLS	EndDLS	lat	lng	SurfaceArea	Alt	id	ih	imin	Fr_Paved	Fr_Bldgs	Fr_EveTr	Fr_DecTr	Fr_Grass	Fr_Bsoil	Fr_Water	IrrFr_EveTr	IrrFr_DecTr	IrrFr_Grass	H_Bldgs	H_EveTr	H_DecTr	z0	zd	FAI_Bldgs	FAI_EveTr	FAI_DecTr	PopDensDay	PopDensNight	Code_Paved	Code_Bldgs	Code_EveTr	Code_DecTr	Code_Grass	Code_Bsoil	Code_Water	LUMPS_DrRate	LUMPS_Cover	LUMPS_MaxRes	NARP_Trans	CondCode	SnowCode	SnowClearingProfWD	SnowClearingProfWE	AnthropogenicCode	EnergyUseProfWD	EnergyUseProfWE	IrrigationCode	WaterUseProfManuWD	WaterUseProfManuWE	WaterUseProfAutoWD	WaterUseProfAutoWE	FlowChange	RunoffToWater	PipeCapacity	GridConnection1of8	Fraction1of8	GridConnection2of8	Fraction2of8	GridConnection3of8	Fraction3of8	GridConnection4of8	Fraction4of8	GridConnection5of8	Fraction5of8	GridConnection6of8	Fraction6of8	GridConnection7of8	Fraction7of8	GridConnection8of8	Fraction8of8	WithinGridPavedCode	WithinGridBldgsCode	WithinGridEveTrCode	WithinGridDecTrCode	WithinGridGrassCode	WithinGridUnmanBSoilCode	WithinGridWaterCode			
1	2012	85	302	51.51	0.12	2221.56	35	1	0	0	0.43	0.38	0	0.02	0.03	0	0.14	0	0	0	22	22	22	1.9	14.2	-999	-999	-999	310.4	98.76	661	662	661	662	663	663	661	0.25	1	10	1	100	660	660	660	661	661	662	660	660	660	660	660	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	!	London	Kotthaus & Grimmond (2012)
-9
-9																																																																																		
																																																																																		
																																																																																		
																																																																																		
!	1	Grid 	Grid			[GGGGG]																																																																												
!	2	Year	Year			[YYYY]																																																																												
!	3	StartDLS	Start of the day light savings			[DOY]																																																																												
!	4	EndDLS	End of the day light savings			[DOY]																																																																												
