1	2	3	4	5	6	7	8	9	10	11	12	13	14					
Code	Albedo	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry					
1000	0.08	0.95	0.5	0.5	0.5	2000	0	0	0	60	60	60	60	!	Helsinki	Jarvi et al. (2014)		
551	0.1	0.95	0.5	0.5	0.5	1000	-999	-999	-999	60	60	60	60	!	Swindon (no water)	Ward et al. (2013)		
661	0.1	0.95	0.5	0.5	0.5	30000	0	0	0	60	60	60	60	!	London			
-9																		
-9																		
																		
																		
!			For Water surface															
!	1	Code	Code for Water surface							Links to Code_Water in SUEWS_SiteSelect								
!	2	Albedo	Albedo of this surface															
!	3	Emissivity	Emissivity of this surface															
!	4	StorageMin	Minimum storage capacity of this surface					[mm]										
!	5	StorageMax	Maximum storage capacity of this surface					[mm]										
!	6	WetThreshold	Threshold for wet evaporation limit					[mm]										
!	7	StateLimit	Maximum amount of water in the surface state for this surface					[mm]										
!	8	DrainageEq	Drainage equation to use for this surface							Not currently implemented								
!	9	DrainageCoef1	Coefficient for drainage equation							Not currently implemented								
!	10	DrainageCoef2	Coefficient for drainage equation							Not currently implemented								
!	11	OHMCode_SummerWet								"Links to SUEWS_OHMCoefficients, col. 1"								
!	12	OHMCode_SummerDry																
!	13	OHMCode_WinterWet																
!	14	OHMCode_WinterDry																
