Code	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
EnergyUseProfWD	0.19	0.14	0.13	0.12	0.19	0.59	1.22	1.64	1.53	1.32	1.3	1.34	1.38	1.45	1.75	2	1.88	1.54	1.2	1	0.8	0.59	0.4	0.3	
EnergyUseProfWE	0.56	0.55	0.53	0.49	0.38	0.31	0.37	0.5	0.73	1.04	1.3	1.49	1.67	1.76	1.76	1.74	1.7	1.61	1.42	1.24	1	0.75	0.6	0.5	
TraffProfWD	0.19	0.14	0.12	0.13	0.2	0.59	1.21	1.67	1.57	1.32	1.27	1.31	1.37	1.44	1.74	2.01	1.9	1.53	1.2	1	0.83	0.59	0.4	0.3	
TraffProfWE	0.55	0.54	0.51	0.46	0.36	0.31	0.38	0.49	0.73	1.04	1.3	1.51	1.69	1.79	1.79	1.76	1.71	1.61	1.43	1.23	1	0.75	0.58	0.5	
PopProfWD	1	1	1	1	1	1.5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1.5	1	1	
PopProfWE	1	1	1	1	1	1	1	1	1.5	2	2	2	2	2	2	2	2	2	2	2	2	2	1.5	1	
ActivityProfWD	1	1	1	1	1	1	1	1.5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1.5	1	
ActivityProfWE	1	1	1	1		1	1	1	1.5	2	2	2	2	2	2	2	2	2	2	2	2	2	1.5	1	
Residential WE	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.06	0.07	0.07	0.06	0.06	0.05	0.04	
IndustryWE	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.06	0.07	0.06	0.06	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03	
ResidentialWD	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.07	0.07	0.07	0.07	0.06	0.06	0.04	
IndustryWE	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.07	0.08	0.08	0.08	0.08	0.07	0.07	0.07	0.06	0.04	0.03	0.03	0.02	0.02	0.02	
																									
																									
																									
