iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 1 1 0 -999 -999 -999 -999 -999 4.53 85.47 11.77 100.15 0 0.16 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 2 0 -999 -999 -999 -999 -999 4.17 85.31 11.86 100.18 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 3 0 -999 -999 -999 -999 -999 4.59 87.26 11.62 100.13 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 4 0 -999 -999 -999 -999 -999 4.3 86.88 11.5 100.13 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 5 0 -999 -999 -999 -999 -999 4.89 85.61 11.49 100.11 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 6 0 -999 -999 -999 -999 -999 4.54 83.76 11.46 100.11 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 7 0 -999 -999 -999 -999 -999 4.3 82.82 11.24 100.1 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 8 0 -999 -999 -999 -999 -999 4.12 82.4 11.04 100.1 0 0.02 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 9 0 -999 -999 -999 -999 -999 3.55 82.93 10.82 100.1 0 14.75 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 10 0 -999 -999 -999 -999 -999 4.16 82.3 10.9 100.06 0 51.07 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 11 0 -999 -999 -999 -999 -999 5.01 78.5 11.33 100.01 0 87.74 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 12 0 -999 -999 -999 -999 -999 5.01 75.43 11.4 99.94 0 74.88 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 13 0 -999 -999 -999 -999 -999 4.49 74.55 11.35 99.83 0 49.14 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 14 0 -999 -999 -999 -999 -999 3.77 76.21 11.32 99.68 0.2 33.65 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 15 0 -999 -999 -999 -999 -999 2.72 84.47 10.78 99.61 5.4 5.99 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 16 0 -999 -999 -999 -999 -999 2.62 88.63 10.32 99.52 4 2.34 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 17 0 -999 -999 -999 -999 -999 2.93 88.22 9.89 99.46 1.4 0.06 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 18 0 -999 -999 -999 -999 -999 3.3 88.75 9.84 99.44 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 19 0 -999 -999 -999 -999 -999 3.63 87.54 9.78 99.46 0.2 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 20 0 -999 -999 -999 -999 -999 3.8 86.48 9.54 99.49 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 21 0 -999 -999 -999 -999 -999 4.12 84.63 9.28 99.57 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 22 0 -999 -999 -999 -999 -999 4.61 81.04 8.85 99.63 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 1 23 0 -999 -999 -999 -999 -999 5.35 79.1 8.32 99.66 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 0 0 -999 -999 -999 -999 -999 3.87 80.4 7.68 99.68 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 1 0 -999 -999 -999 -999 -999 3.95 80.65 7.11 99.72 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 2 0 -999 -999 -999 -999 -999 4.05 80.25 6.79 99.73 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 3 0 -999 -999 -999 -999 -999 4.32 80.41 6.37 99.77 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 4 0 -999 -999 -999 -999 -999 3.27 81.36 5.91 99.76 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 5 0 -999 -999 -999 -999 -999 3.28 81.04 5.58 99.79 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 6 0 -999 -999 -999 -999 -999 2.97 80.63 5.27 99.82 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 7 0 -999 -999 -999 -999 -999 3.62 78.71 5.13 99.84 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 8 0 -999 -999 -999 -999 -999 3.69 78.44 4.85 99.89 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 9 0 -999 -999 -999 -999 -999 3.89 78.59 4.45 99.99 0 22.83 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 10 0 -999 -999 -999 -999 -999 4.74 76.75 4.32 100.1 0 97.15 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 11 0 -999 -999 -999 -999 -999 4.67 72.68 4.71 100.19 0 175.47 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 12 0 -999 -999 -999 -999 -999 4.39 69.7 5.23 100.24 0 229.07 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 13 0 -999 -999 -999 -999 -999 5.32 65.26 5.05 100.26 0 232.25 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 14 0 -999 -999 -999 -999 -999 5.54 62.01 5.03 100.31 0 191.75 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 15 0 -999 -999 -999 -999 -999 5.25 59.83 5.47 100.38 0 121.58 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 16 0 -999 -999 -999 -999 -999 4.74 60.36 5.67 100.44 0 34.16 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 17 0 -999 -999 -999 -999 -999 4.64 64.51 4.97 100.51 0 0.33 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 18 0 -999 -999 -999 -999 -999 3.97 70.12 4.75 100.56 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 19 0 -999 -999 -999 -999 -999 4.32 69.38 4.7 100.6 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 20 0 -999 -999 -999 -999 -999 4.09 68.53 4.65 100.61 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 21 0 -999 -999 -999 -999 -999 4.43 69.32 4.63 100.65 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 22 0 -999 -999 -999 -999 -999 4.08 70.88 4.84 100.64 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 2 23 0 -999 -999 -999 -999 -999 4.08 72.96 5.4 100.56 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 0 0 -999 -999 -999 -999 -999 4.13 74.39 5.97 100.5 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 1 0 -999 -999 -999 -999 -999 4.07 76.56 6.49 100.4 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 2 0 -999 -999 -999 -999 -999 4.58 76.78 7.15 100.26 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 3 0 -999 -999 -999 -999 -999 6.26 77.77 7.96 100.1 0.2 0.07 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 4 0 -999 -999 -999 -999 -999 6.52 81.14 8.45 99.84 0.4 0.82 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 5 0 -999 -999 -999 -999 -999 7.89 84.67 8.84 99.59 0.6 0.79 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 6 0 -999 -999 -999 -999 -999 8.23 85.97 9.76 99.43 0.2 0.89 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 7 0 -999 -999 -999 -999 -999 9.5 81.62 10.6 99.33 0.6 0.03 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 8 0 -999 -999 -999 -999 -999 9.09 79.63 10.85 99.26 0.6 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 9 0 -999 -999 -999 -999 -999 9.81 81.47 11.04 99.18 1.2 5.11 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 10 0 -999 -999 -999 -999 -999 9.56 82.08 11.26 99.08 0.8 9.93 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 11 0 -999 -999 -999 -999 -999 8.96 81.85 11.57 98.96 2.6 25.3 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 12 0 -999 -999 -999 -999 -999 9.23 83.96 11.57 98.87 4 25.26 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 13 0 -999 -999 -999 -999 -999 6.66 80.89 7.32 99.12 2.4 22.1 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 14 0 -999 -999 -999 -999 -999 6.04 76.85 7.49 99.22 0 134.06 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 15 0 -999 -999 -999 -999 -999 6.99 72.79 7.86 99.35 0 94.17 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 16 0 -999 -999 -999 -999 -999 7.92 66.54 7.28 99.51 0 25.97 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 17 0 -999 -999 -999 -999 -999 6.76 67.93 5.92 99.68 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 18 0 -999 -999 -999 -999 -999 7.3 59.18 5.78 99.86 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 19 0 -999 -999 -999 -999 -999 6.07 60.82 5.56 99.99 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 20 0 -999 -999 -999 -999 -999 5.3 62.25 5.26 100.09 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 21 0 -999 -999 -999 -999 -999 5.48 62.61 5.05 100.12 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 22 0 -999 -999 -999 -999 -999 4.38 65.27 4.54 100.14 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 23 0 -999 -999 -999 -999 -999 5.77 66.05 4.56 100.13 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 0 0 -999 -999 -999 -999 -999 6.23 67.22 4.8 100.18 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 1 0 -999 -999 -999 -999 -999 5.51 65.42 4.87 100.3 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 2 0 -999 -999 -999 -999 -999 5.71 59.06 4.93 100.44 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 3 0 -999 -999 -999 -999 -999 6.08 59.14 4.79 100.59 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 4 0 -999 -999 -999 -999 -999 5.52 61.57 4.49 100.77 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 5 0 -999 -999 -999 -999 -999 5.46 64.23 3.92 100.9 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 6 0 -999 -999 -999 -999 -999 5.5 64.29 3.9 100.99 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 7 0 -999 -999 -999 -999 -999 5.97 65.22 3.92 101.09 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 8 0 -999 -999 -999 -999 -999 5 65.67 4.19 101.15 0 0.9 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 9 0 -999 -999 -999 -999 -999 4.74 66.9 4.56 101.25 0 11.88 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 10 0 -999 -999 -999 -999 -999 4.49 67.17 4.87 101.32 0 85.74 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 11 0 -999 -999 -999 -999 -999 6.19 67.7 5.37 101.38 0 107.6 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 12 0 -999 -999 -999 -999 -999 5.74 67.87 5.89 101.28 0 142.07 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 13 0 -999 -999 -999 -999 -999 6.13 67.69 6.27 101.18 0 110.23 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 14 0 -999 -999 -999 -999 -999 5.38 68.37 6.5 101.1 0 49.58 -999 -999 -999 -999 -999 -999 -999 -999 -999
