1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22				
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch				
100	0.09	0.09	0.95	0.48	0.48	0.48	0.48	3	10	3	50	190	40	800	800	800	800	0	200000	1.2	4	!	PAV	Helsinki	
150	0.15	0.15	0.91	0.25	0.25	0.25	0.25	3	10	3	60	190	100	750	750	750	750	0	200000	1.2	4	!	BLDG	Helsinki	
551	0.1	0.1	0.95	0.48	0.48	0.6	0.48	3	10	3	551	-999	-999	800	800	800	800	0	200000	1.2	4	! 	Paved	Swindon	Ward et al. (2013)
552	0.12	0.12	0.91	0.25	0.25	0.6	0.25	3	10	3	552	-999	-999	799	799	799	799	0	200000	1.2	4	!	Bldgs	Swindon	Ward et al. (2013)
553	0.18	0.18	0.94	0.8	0.8	1	0.8	3	10	3	553	-999	-999	55	55	55	55	809	200000	1.2	4	!	BSoil	Swindon	Ward et al. (2013)
661	0.12	0.12	0.95	0.48	0.48	0.48	0.48	3	10	3	661	120	10	800	800	800	800	0	200000	1.2	4	!	Paved	London	
662	0.15	0.15	0.91	0.25	0.25	0.25	0.25	3	10	3	661	120	8.5	799	799	799	799	0	200000	1.2	4	!	Bldgs	London	
663	0.21	0.21	0.93	1	1	1	1	2	0.013	1.71	661	-999	-999	55	55	55	55	809	200000	1.2	4	!	Bsoil (not used)	London	
-9																									
-9																									
																									
																									
