1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25							
Code	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23							
10	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.13	0.13	0.13	0.13	0.01	0.01	0.01	0.01	!	Vs 1987	Water Use Profile values				
11	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.12	0.12	0.12	0.12	0.03	0.03	0.03	0.03	!	Manual  LA	Water Use Profile values				
12	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.04	!	Automatic LA	Water Use Profile values				
																															
40	0.3	0.23	0.15	0.13	0.15	0.45	1.2	1.7	1.55	1.4	1.3	1.3	1.35	1.37	1.45	1.6	1.75	1.7	1.2	1.1	0.95	0.65	0.38	0.33	!	AHDIUPRF	Anthropogenic Heat Flux Profile values				
41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	!	AHDIUPRF	Anthropogenic Heat Flux Profile values				
42	0.57	0.45	0.43	0.4	0.4	0.45	0.71	1.2	1.44	1.29	1.28	1.31	1.3	1.32	1.35	1.44	1.51	1.41	1.14	0.99	0.86	0.85	0.8	0.7	!	AHDIUPRF1	Anthropogenic Heat Flux Profile values				Vs87
43	0.65	0.49	0.46	0.47	0.47	0.53	0.7	1.13	1.37	1.37	1.3	1.37	1.33	1.3	1.27	1.36	1.44	1.3	1.1	0.98	0.84	0.9	0.87	0.74	!	AHDIUPRF2	Anthropogenic Heat Flux Profile values				Vs87
																															
1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	!	Helsinki	Snow removal				
																															
99999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	!	Swindon	"Snow clearing, water use (not used)"				
																															
550	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	!	Swindon	"Snow clearing, water use (not used)"				
551	0.57	0.45	0.43	0.4	0.4	0.45	0.71	1.2	1.44	1.29	1.28	1.31	1.3	1.32	1.35	1.44	1.51	1.41	1.14	0.99	0.86	0.85	0.8	0.7	!	Swindon	Weekday QF				
552	0.65	0.49	0.46	0.47	0.47	0.53	0.7	1.13	1.37	1.37	1.3	1.37	1.33	1.3	1.27	1.36	1.44	1.3	1.1	0.98	0.84	0.9	0.87	0.74	!	Swindon	Weekend QF				
5512	0.421569876	0.332818323	0.318026398	0.295838509	0.295838509	0.332818323	0.525113354	0.45004736	0.374981366	0.335920807	0.33331677	0.341128882	0.338524845	0.343732919	0.351545031	0.374981366	0.393209627	0.618174689	0.843139752	0.732200311	0.636052795	0.628656832	0.591677019	0.517717391	!	Swindon	Weekday QF scaled for variable pop				
																															
																															
660	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	!	London	"Snow clearing, water use (not used)"				
661	0.57	0.45	0.43	0.4	0.4	0.45	0.71	1.2	1.44	1.29	1.28	1.31	1.3	1.32	1.35	1.44	1.51	1.41	1.14	0.99	0.86	0.85	0.8	0.7	!	London	Weekday QF				
662	0.65	0.49	0.46	0.47	0.47	0.53	0.7	1.13	1.37	1.37	1.3	1.37	1.33	1.3	1.27	1.36	1.44	1.3	1.1	0.98	0.84	0.9	0.87	0.74	!	London	Weekend QF				
-9																															
-9																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
