1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19					
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch					
1000	0.08	0.08	0.95	0.5	0.5	0.5	2000	0	0	0	60	60	60	60	60	100000	1.2	4	!	Helsinki	Jarvi et al. (2014)		
551	0.1	0.1	0.95	0.5	0.5	0.5	1000	-999	-999	-999	60	60	60	60	60	100000	1.2	4	!	Swindon (no water)	Ward et al. (2013)		
661	0.1	0.1	0.95	0.5	0.5	0.5	30000	0	0	0	60	60	60	60	813	100000	1.2	4	!	London			
-9																							
-9																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
